Date,SPY US Equity,FTEC US Equity,KOMP US Equity,QQQM US Equity,SOXX US Equity,FLCH US Equity,VUG US Equity,IAUM US Equity,FLIN US Equity,XLY US Equity,BIL US Equity,CEMB US Equity
2023-05-16,-0.00668264690927578,-0.0011309264897781945,-0.01310997815003645,0.0009670460462694042,-0.0018734436868005355,-0.008975712777191225,-0.0014923028589380882,-0.012916045702930812,-0.007540702656383957,-0.004053506282934882,-0.00010918222513378595,-0.0032280378141572585
2023-05-17,0.01213893967093238,0.014457411600766523,0.0177121771217712,0.01181629013079677,0.0247033312834517,-0.009057005860415468,0.012467552898607792,-0.003522898842476141,-0.0005180452426177817,0.02082485415818769,0.00021838829438736163,0.00023132084200794267
2023-05-18,0.009633215326445566,0.02017513736263732,0.004592700024172114,0.01880279103929494,0.0315945757997218,-0.013978494623655968,0.015887814163073388,-0.012878787878787823,-0.009239806496199154,0.015549205927304133,0.0005458515283844889,-0.0037002775208141436
2023-05-19,-0.0014550485413734604,-0.0019355381637633506,-0.00336862367661217,-0.0023790642347344404,-0.005145496965484719,-0.005103598691384881,-0.0029825634750687557,0.009976976208748933,-0.0021832690443140956,-0.008375318981875268,0.0,0.00046425255338911064
2023-05-22,0.00040609622091647424,0.002866779089376159,0.014968614196040564,0.004046827576239309,0.0034557528120340297,0.01286829182742899,0.002684666717803097,-0.002532928064842843,0.010136315973435783,-0.0031012867040580705,0.0001091107474084918,-0.0006960556844547439
2023-05-23,-0.011222808567539877,-0.015890364889860398,-0.009276879162702256,-0.013243126529437155,-0.012357350259977085,-0.027660541523277793,-0.015452876376989111,0.0017775520568816816,-0.0031141868512111204,-0.009134233518665713,0.0,0.0006965405154399917
2023-05-24,-0.007244801854669247,-0.006151217428449374,-0.015366146458583474,-0.004886943836615476,-0.017890742513332336,-0.017250973845297612,-0.005477855477855398,-0.00811153358681882,0.0013363415480736052,-0.0036740146960586584,0.0,-0.0013921113689095987
2023-05-25,0.008659904157240605,0.03558841227542331,-0.00487685930260906,0.024114930733709627,0.0666003913861628,-0.014722536806342057,0.018672604398609183,-0.009455660618451378,0.006464807528987704,-0.00449212202480731,0.0006545930613135464,-0.006505576208178487
2023-05-26,0.012950681297479782,0.026811654353781078,0.013232050967900033,0.025694245634125368,0.06535669995431093,0.014367816091954033,0.018828853012233138,0.003353973168214619,0.012881005682796598,0.02350484913793105,0.0002180549498473905,0.0035313376987839984
2023-05-30,0.0003809342412266492,0.004850444624090455,0.004111245465538094,0.004326285674412178,-0.0008368903214185375,-0.022662889518413554,0.0035757302017465076,0.00668552327076366,-0.0016661566187221588,0.0067118510232282436,0.00010900370612598742,0.005802707930367301
